,spread,theta,mu,sigma,signal,a,b
2010-08-26,0.4131950328614096,0.3268255056522338,0.15736635772336838,0.18095983884480418,,0.6050170163044605,-0.2902843008577237
2010-08-27,0.4223168526466594,0.3147493855658919,0.16605085220345453,0.17865162917170446,,0.6163898254843719,-0.2842881210774628
2010-08-30,0.5316775060496042,0.30262457463743847,0.20062046960030183,0.16821055491427203,,0.6330507978599753,-0.2318098586593716
2010-08-31,0.5815638158062342,0.3615381959505474,0.23678855915731564,0.14868777950000892,,0.5865026893261673,-0.11292557101153608
2010-09-01,0.6068221965548588,0.3254956605374406,0.25387202490441774,0.14846771042512424,,0.6218945556758951,-0.11415050586705966
2010-09-02,0.529869647563352,0.3155455575258977,0.2583895469547396,0.14625092868039696,,0.6265885389368789,-0.10980944502739975
2010-09-03,0.3145626544644031,0.3407690703082366,0.24592366245513203,0.1478533096743602,,0.6041157299157738,-0.11226840500550966
2010-09-06,0.2868629896866892,0.3858584423044634,0.2536461406274938,0.15225658991299956,,0.600284877224953,-0.09299259596996545
2010-09-07,0.2268509897458415,0.404431016175076,0.2550378196838259,0.15299465988021307,,0.5952650290696377,-0.08518938970198603
2010-09-08,0.3480941919803584,0.42740938821840463,0.26633721346602734,0.15456715478212404,,0.6006940301605531,-0.06801960322849843
2010-09-09,0.44734926339865666,0.41553049422120636,0.27431314993287986,0.15392803464404986,,0.6120133142070298,-0.06338701434127003
2010-09-10,0.5568002622877373,0.38500667642042136,0.28658499856750186,0.15346581246343102,,0.6363630148724293,-0.06319301773742564
2010-09-13,0.6962714283609373,0.3144947416233886,0.2973862090103611,0.15641260462316323,,0.6918253930289657,-0.0970529750082435
2010-09-14,0.5964453167735044,0.30133166248274607,0.3080211926437012,0.15451876291233568,,0.7061043804801164,-0.09006199519271396
2010-09-15,0.6162197763750825,0.28178667311535577,0.32641051416150046,0.1532555754064102,,0.7347026885723962,-0.0818816602493953
2010-09-16,0.45102739670367953,0.29939731034437594,0.31810776342053865,0.1533404132525633,,0.7144293062717859,-0.07821377943070867
2010-09-17,0.6801118730360827,0.2729475806844986,0.3423390719997402,0.15637503931576108,,0.7656337469823715,-0.08095560298289112
2010-09-20,0.4225564259823784,0.3056603667922089,0.339601270011768,0.15506539299790487,,0.7362538806638887,-0.05705134064035278
2010-09-21,0.4478079354833895,0.299991752086435,0.3413009765518949,0.154819156521739,,0.7410478149736666,-0.05844586186987677
2010-09-23,0.3971610716435734,0.3036473130565639,0.34505791998214047,0.1546377822168744,,0.7419257431937398,-0.05180990322945889
2010-09-24,0.2908568790626731,0.30744591735887206,0.3380722366637431,0.15392190275317236,,0.7306548449067982,-0.054510371579312045
2010-09-27,0.6060738221391304,0.30716253794502735,0.3575470369213902,0.16417710121465645,,0.7764789620538952,-0.06138488821111482
2010-09-28,0.5109580171620394,0.31011540844490476,0.35333551107810235,0.16431566951006238,,0.7706200617706545,-0.06394903961444975
2010-09-29,0.5433004403399693,0.3015314392214509,0.36076760591431567,0.16428466915392273,,0.7838702457607337,-0.06233503393210238
2010-09-30,0.4564573377364951,0.3053017250061814,0.3581615869674582,0.16273075941944615,,0.7746663957410929,-0.058343221806176404
2010-10-01,0.0,0.3322519946279335,0.32789445249500426,0.17888459570579487,,0.7667828936828532,-0.11099398869284471
2010-10-04,-0.006722904799062235,0.30136624437640624,0.3321652561723036,0.17577848130955034,,0.7849933914786237,-0.12066287913401652
2010-10-05,-0.02465119349096767,0.28125019029345866,0.32654677608529886,0.17499853809458468,,0.7932093864658321,-0.14011583429523433
2010-10-06,-0.19442097845148965,0.2454538286499028,0.3201544544340203,0.17379610957730554,,0.8162555007730783,-0.1759465919050377
2010-10-07,0.005071417847020143,0.26292914541920287,0.32732645241999586,0.1735364175459185,,0.8059414029898797,-0.15128849814988798
2010-10-08,-0.055874064019583614,0.24285568980583103,0.31391405577151915,0.17164630550905854,,0.8064924022663369,-0.17866429072329865
2010-10-11,-0.20133576318926316,0.18050215403813935,0.2755622093404798,0.16869729402631753,,0.8371037894765874,-0.28597937079562774
2010-10-12,-0.3045318320404746,0.1335414800919523,0.20186251056075888,0.16566956407843617,,0.8429977300496863,-0.4392727089281685
