買進,日期,種類,賣出
2397261070,2020-05-18,Dealer_self,2366355498
2966320630,2020-05-18,Investment_Trust,3778736138
48897993579,2020-05-18,Foreign_Investor,64798454327
2909100,2020-05-18,Foreign_Dealer_Self,6221900
59041684613,2020-05-18,total,75986271228
4780109334,2020-05-18,Dealer_Hedging,5042725265
4334793379,2020-05-19,Dealer_Hedging,3779473626
58609712845,2020-05-19,Foreign_Investor,53960035648
3702919340,2020-05-19,Investment_Trust,2696540640
6099960,2020-05-19,Foreign_Dealer_Self,4021840
2193884570,2020-05-19,Dealer_self,1493962040
68841310134,2020-05-19,total,61930011954
5077669592,2020-05-20,Dealer_Hedging,4590673911
56939855168,2020-05-20,total,50505080651
2798694010,2020-05-20,Investment_Trust,1737917150
3484630,2020-05-20,Foreign_Dealer_Self,2859290
46532822396,2020-05-20,Foreign_Investor,42143417391
2530669170,2020-05-20,Dealer_self,2033072199
4938277717,2020-05-21,Dealer_Hedging,4394011012
42073642951,2020-05-21,Foreign_Investor,41094682114
2468191180,2020-05-21,Dealer_self,1386282470
3228192000,2020-05-21,Investment_Trust,1882596244
4243140,2020-05-21,Foreign_Dealer_Self,3642010
52708303848,2020-05-21,total,48757571840
4067569136,2020-05-22,Dealer_Hedging,6096056236
1697856110,2020-05-22,Dealer_self,1845335710
37010723171,2020-05-22,total,68599793799
1673917830,2020-05-22,Investment_Trust,2001439723
3427300,2020-05-22,Foreign_Dealer_Self,3272830
29571380095,2020-05-22,Foreign_Investor,58656962130
2013613697,2020-05-25,Investment_Trust,2255992250
2107526020,2020-05-25,Dealer_self,1312535106
4876109362,2020-05-25,Dealer_Hedging,3804588734
32318396091,2020-05-25,Foreign_Investor,36886490583
3561450,2020-05-25,Foreign_Dealer_Self,4764790
41315645170,2020-05-25,total,44259606673
5722479538,2020-05-26,Dealer_Hedging,5202051946
7405610,2020-05-26,Foreign_Dealer_Self,6112910
3174391090,2020-05-26,Investment_Trust,1911355720
2311140080,2020-05-26,Dealer_self,1320077214
57651280306,2020-05-26,total,40706869778
46443269598,2020-05-26,Foreign_Investor,32273384898
38786072945,2020-05-27,Foreign_Investor,38453861063
2748554540,2020-05-27,Investment_Trust,1827963700
1673675580,2020-05-27,Dealer_self,1643686578
